2026-02-20T10:00:01+00:00, IP=203.0.113.10, user=admin, status=FAIL
2026-02-20T10:00:10+00:00, IP=203.0.113.10, user=admin, status=FAIL
2026-02-20T10:00:20+00:00, IP=203.0.113.10, user=admin, status=FAIL
2026-02-20T10:00:25+00:00, IP=203.0.113.10, user=admin, status=FAIL
2026-02-20T10:00:30+00:00, IP=203.0.113.10, user=admin, status=FAIL
2026-02-20T10:02:00+00:00, IP=203.0.113.22, user=alice, status=FAIL
2026-02-20T10:02:02+00:00, IP=203.0.113.22, user=bob, status=FAIL
2026-02-20T10:02:04+00:00, IP=203.0.113.22, user=charlie, status=FAIL
2026-02-20T10:02:06+00:00, IP=203.0.113.22, user=dave, status=FAIL
2026-02-20T10:02:08+00:00, IP=203.0.113.22, user=eve, status=FAIL
2026-02-20T10:03:00+00:00, IP=198.51.100.44, user=alice, status=FAIL
2026-02-20T10:03:10+00:00, IP=198.51.100.44, user=alice, status=SUCCESS
